Fab Name,Capacity,Construction Duration (Ground to Operation),Status,Quote,Source URL,Notes
"VSMC Singapore (VIS/NXP JV)","55000 WSPM (by 2029)","~30 months (Dec 2024 → 2027)",PLANNED,"Groundbreaking ceremony Dec 2024. ""Construction of the VSMC fab is on-track, with initial production slated to begin in 2027""",https://www.nxp.com/company/about-nxp/newsroom/NW-VSMC-V3,"Initial production 2027; full 55k capacity by 2029"
"SK Hynix Yongin Semiconductor Cluster (1st fab)","~200000 WSPM (1st fab only)","~26 months (Mar 2025 → May 2027)",PLANNED,"SK hynix designs to start construction of the 1st fab to be built in the Yongin cluster in March next year and complete it in May 2027",https://news.skhynix.com/sk-hynix-board-approves-yongin-semiconductor-cluster-plan/,"Unclear if May 2027 is construction completion or operation start"
"TSMC Fab 18 (Tainan)",">83000 WSPM (all phases)","~24 months (Jan 2018 → early 2020)",ACTUAL,"Following today's groundbreaking, the Company plans to complete construction of Phase 1 and begin equipment move-in in the first quarter of 2019, with volume production in early 2020. Phase 2 will start construction in third quarter 2018 and also enter volume production in 2020, while Phase 3 construction is scheduled for third quarter 2019 for volume production in 2021.",https://pr.tsmc.com/english/news/1951,
"GlobalFoundries Fab 8 Malta","60000 WSPM","~36 months (July 2009 → 2012)",ACTUAL,"The plant's construction began in July 2009 and the company started mass production in 2012. It has a maximum manufacturing capacity of 60,000 of 300 mm wafers/month.",https://en.wikipedia.org/wiki/GlobalFoundries,"Capacity updated from 33k to 60k WSPM"
"Intel Fab 42 Arizona","25000-100000 WSPM (megafab)","~24 months construction (2011 → 2013)",ACTUAL,"Construction began 2011, completed 2013. Fab was mothballed 2014-2017. Equipment installation began 2017, operations started October 2020.",https://www.tomshardware.com/news/intels-long-awaited-fab-42-is-fully-operational,"Actual construction only ~24 months; fab sat idle for 7 years before being equipped"
"SK Hynix M16 Icheon","100000 WSPM","~30 months (Nov 2018 → H2 2021)",ACTUAL,"Since the initiation of the M16 construction in November 2018... led to the completion in 25 months [Feb 2021]. It plans to produce 1a nm DRAM products from the second half of this year [H2 2021].",https://news.skhynix.com/sk-hynix-announces-the-completion-of-m16-plant-construction/,"Construction completed Feb 2021 (25 months), but production started H2 2021 (~30 months total)"
"Micron Fab 10 Singapore (Expansion)","140000 WSPM","~24 months (Apr 2018 → 2020)",ACTUAL,"This new facility took only 16 months to construct [completed mid-2019]. Volume production will not start until 2020.",https://www.pmo.gov.sg/Newsroom/DPM-Heng-Swee-Keat-at-the-Opening-of-Microns-Expanded-Fabrication-Facility,"Construction completed in 16 months (mid-2019), but volume production 2020"
"Samsung Pyeongtaek Line 1","~150000 WSPM (Line 1 only)","~26 months (May 2015 → July 2017)",ACTUAL,"With two years of construction since it broke ground in May, 2015... mass production began July 2017",https://news.samsung.com/global/samsung-electronics-begins-mass-production-at-new-semiconductor-plant-in-pyeongtaek-south-korea,
"SMIC Shenzhen 12-inch fab","5000 wafers per month (initial)","~12 months (End 2016 → End 2017)",PLANNED,"Construction is planned to start by the end of 2016... The early production is expected to begin by the end of 2017.",https://www.smics.com/en/site/news_read/4550,"Timeline appears to be construction start to early production"
"GlobalFoundries Fab 1 Module 3 Dresden","80000 WSPM (full Fab 1 campus)","~27 months (H2 2010 → end 2012)",ACTUAL,"The project will be implemented during 2011 until end of 2012, with some construction works already initiated in the second half of 2010",https://www.eib.org/en/projects/all/20100652,"Extension/Module 3 added ~110,000 sq ft cleanroom to existing Fab 1; updated from 12 to 27 months"
"Pragmatic Semiconductor FlexLogic 001 Durham","4000 WSPM","~12 months (2017 → early 2018)",ACTUAL,"All equipment orders have been placed, and initial deliveries are already on site. The system will be commissioned through 2017 ready for volume production in early 2018.",https://www.pragmaticsemi.com/newsroom/press-releases/scale-production-flex-ic-2018,"Flexible semiconductor fab; capacity 4000 WSPM per Wikipedia"
"TSMC Fab 15 Phase 1 (Taichung)","4000 WSPM","~11 months (July 2010 → mid-2011)",ACTUAL,"TSMC began construction on Fab 15, Phase 1, in July 2010, and completed equipment move-in in mid-2011 with volume production scheduled for early 2012.",https://pr.tsmc.com/english/news/1698,"Equipment move-in mid-2011, volume production early 2012"
"TSMC Fab 21 Phase 1 (Arizona)","20000 WSPM","~16 months building (Mar 2021 → July 2022)",ACTUAL,"TSMC recently held a topping-out ceremony for its Fab 21 near Phoenix, Arizona, to celebrate the completion of the construction, which progressed at breakneck speeds from March 2021 to July 2022.",https://www.tomshardware.com/news/tsmc-fab-21-arizona,"Building structure completed in 16 months; total time to production ~44 months"
"SMIC Fab 8 S2 (Shanghai)","20000 WSPM","~19 months (Oct 2005 → July 2007)",ACTUAL,"Construction for SMIC's Fab 8 began in October 2005. Eighteen months later, in May 2007, state-of-the-art equipment was moved in and pilot production commenced in July 2007.",https://www.industryweek.com/leadership/companies-executives/article/21933839/smic-shanghais-first-12-inch-wafer-manufacturing-line,"Equipment move-in May 2007, pilot production July 2007"
"Sanan IC Changsha Fab","30000 (6-inch SiC wafers)","~11 months (July 2020 → June 2021)",ACTUAL,"Since its groundbreaking in July 2020, it has only taken less than a year to build this modern manufacturing facility for the entire silicon carbide compound semiconductor supply chain from crystal growth to power devices, packaging, and testing.",https://www.yolegroup.com/industry-news/hunan-sanan-inaugurates-chinas-first-vertically-integrated-silicon-carbide-production-line/,"Vertically integrated SiC facility, Phase 1 operational June 2021"
"Sanan IC Xiamen Fab","30000","~15 months estimate (2014 → Oct 2015)",ACTUAL,"[Founded in 2014] Risk production started in October 2015",https://www.sanan-e.com/en/about.html,"Founded 2014, risk production Oct 2015; exact groundbreaking date not found"
