Node (nm),Estimated Density (MTr/mm²),Source URL,Supporting Quote
3,215.6,https://fuse.wikichip.org/news/7375/tsmc-n3-and-challenges-ahead/,"At a 48-nanometer CPP, the 143 nm HD cells give a transistor density of around 215.6 MTr/mm2."
4,145.86,Calculated from N5 density,"N4P provides a 6% transistor density improvement over N5 (https://pr.tsmc.com/english/news/2874). N5 is 137.6 MTr/mm² (https://www.angstronomics.com/p/the-truth-of-tsmc-5nm), therefore N4 ≈ 137.6 × 1.06 = 145.86 MTr/mm²."
5,137.6,https://www.angstronomics.com/p/the-truth-of-tsmc-5nm,"Plugging in those numbers into the density formula shows the H210g51 of TSMC N5 2-fin achieves a logic density of 137.6 MTr/mm²."
6,106.96,Calculated from N7 density,"N6 offers 18% higher logic density compared to N7 (https://www.anandtech.com/show/14228/tsmc-reveals-6-nm-process-technology-7-nm-with-higher-transistor-density). N7 is 90.64 MTr/mm², therefore N6 ≈ 90.64 × 1.18 = 106.96 MTr/mm²."
7,90.64,https://www.angstronomics.com/p/the-truth-of-tsmc-5nm,"For TSMC's N7 2-fin (H240g57), we get 90.64 MTr/mm²."
10,60.3,https://www.techcenturion.com/7nm-10nm-14nm-fabrication/,"The density of TSMC's 10nm Process is 60.3 MTr/mm²."
12,33.8,https://www.techcenturion.com/7nm-10nm-14nm-fabrication/,"The estimated density of their 12nm Process is around 33.8 MTr/mm²."
16,28.88,https://news.ycombinator.com/item?id=27063034,"IBM TSMC Intel Samsung... 16nm/14nm 28.88 44.67 33.32 [Table showing TSMC 16nm at 28.88 MTr/mm²]"
22,16.5,https://news.ycombinator.com/item?id=27063034,"IBM TSMC Intel Samsung 22nm 16.50 [Table showing TSMC 22nm at 16.5 MTr/mm²]"
28,14.44,Calculated using 2x scaling,"TSMC states 28nm delivers 2x gate density vs 40nm (https://product.statnano.com/product/6777/tsmc-28nm-technology). Assuming gate density scales at same rate as transistor density and working backwards from 16nm (28.88 MTr/mm²) using ~2x scaling per full node: 28nm ≈ 16nm / 2 = 14.44 MTr/mm²."
40,7.22,Calculated using 2x scaling (same method as above),"40nm provides 2x gate density vs 65nm (https://product.statnano.com/product/6778/tsmc-40nm-technology). Using 2x scaling: 40nm = 28nm / 2 = 7.22 MTr/mm²."
65,3.61,Calculated using 2x scaling (same method as above),"65nm had ~2x 90nm's gate density (https://beyond3d.com/content/news/636). Using 2x scaling: 65nm = 40nm / 2 = 3.61 MTr/mm²."
90,1.8,Calculated using 2x scaling (same method as above),"90nm had ~2x 130nm's gate density (https://beyond3d.com/content/news/636). Using 2x scaling: 90nm = 65nm / 2 = 1.80 MTr/mm²."
130,0.9,Calculated using 2x scaling (same method as above),"Using 2x scaling relationship from 90nm: 130nm = 90nm / 2 = 0.90 MTr/mm²."
180,0.45,Calculated using 2x scaling (same method as above),"Using 2x scaling relationship from 130nm: 180nm = 130nm / 2 = 0.45 MTr/mm²."
