Technology,Year,Number of Systems Sold,Justification,Sources
DUV,2006,23,ASML shipped 23 immersion systems to 17 customers in 2006, marking the start of volume production ramp-up for immersion lithography,https://www.asml.com/en/news/press-releases/2007/asml-announces-record-2006-annual-and-fourth-quarter-earnings
DUV,2007,35,More than 70 immersion systems had been shipped cumulatively by end of 2007, with 35 immersion systems shipped in 2007 alone,https://www.asml.com/en/news/press-releases/2008/strong-q4-leads-asml-to-record-2007-full-year-earnings
DUV,2008,~56,Based on quarterly shipments: Q1: 14, Q2: 16, Q3: ~15 (estimated from revenue mix showing 75-80% immersion), Q4: 11. By mid-2008, more than 100 cumulative immersion systems had been shipped,"https://www.asml.com/en/news/press-releases/2008/asml-announces-2008-first-quarter-results, https://www.asml.com/en/news/press-releases/2008/asml-announces-2008-second-quarter-results, https://www.asml.com/en/news/press-releases/2008/asml-announces-2008-third-quarter-results, https://seekingalpha.com/article/115001-asml-holding-n-v-q4-2008-earnings-call-transcript"
DUV,2009,~35,ASML shipped 70 total systems in 2009 during the economic downturn. Immersion represented the majority of technology-focused shipments, with bookings heavily weighted toward immersion systems,https://www.asml.com/en/news/press-releases/2010/asml-announces-2009-fourth-quarter-and-full-year-results
DUV,2010,~90,ASML shipped 197 total systems in 2010. Q4 alone had 27 immersion systems (13 XT:1950 + 14 NXT:1950). By Q1 2010, more than 180 cumulative immersion systems had been shipped. Immersion orders represented 89% of the order book by end of Q1 2010,"https://www.asml.com/en/news/press-releases/2010/asml-announces-2010-q4-full-year-results-increased-dividend-proposal-share-buy-back-program, https://www.asml.com/en/news/press-releases/2010/asml-immersion-systems-reach-million-wafer-club-status"
DUV,2011,101,ASML recognized 101 immersion systems in revenue for full year 2011, with 78 of those being the advanced TWINSCAN NXT:1950i systems,https://www.asml.com/en/news/press-releases/2011/asml-announces-2011-fourth-quarter-and-full-year-results-asml-achieves-record-2011-sales
EUV,2019,26,ASML shipped 26 EUV systems in 2019, missing their target of 30 due to temporary supply constraints in the NXE:3400C ramp. Six systems were the new NXE:3400C model with higher productivity,"https://www.anandtech.com/show/15428/asml-ramps-up-euv-scanners-production-35-in-2020-45-50-in-2021, https://www.asml.com/en/news/press-releases/2020/q4--and-full-year-2019-financial-results"
EUV,2020,31,ASML sold 31 EUV systems in 2020 (up from 26 in 2019), generating €4.5 billion in EUV revenue. The company celebrated shipping its 100th EUV system by the end of 2020,"https://optics.org/news/12/1/28, https://www.anandtech.com/show/15428/asml-ramps-up-euv-scanners-production-35-in-2020-45-50-in-2021"
EUV,2021,42,ASML sold 42 EUV systems in 2021, a significant increase driven by strong logic demand. By end of 2021, 127 EUV machines were in use at customer locations,"https://seekingalpha.com/article/4512391-asml-wonderful-future-euv, https://www.asml.com/en/news/stories/2022/making-euv-lab-to-fab"
EUV,2022,40,ASML recognized revenue for 40 EUV systems in 2022, though 54 systems were shipped. The difference is due to their "fast shipment" process where 15 systems had deferred revenue recognition into 2023,"https://www.counterpointresearch.com/insights/increased-euv-shipments-help-asml-deliver-strong-growth-in-q2-2022/, https://www.asml.com/en/news/press-releases/2023/q4-2022-financial-results"
EUV,2023,53,ASML recognized revenue for 53 EUV systems in 2023. The company initially planned to ship 60 systems but reduced the forecast. First High NA EUV system (EXE:5000) was shipped to Intel in December 2023,"https://www.tomshardware.com/tech-industry/manufacturing/asml-triples-order-bookings-in-q4-2023-thanks-to-demand-for-euv-tools, https://www.asml.com/en/products/euv-lithography-systems"
EUV,2024,44,ASML sold 44 EUV systems in 2024 (excluding High NA systems). The company also recognized revenue on 2 High NA EUV systems and shipped a third High NA system in Q4. Total net sales reached €28.3 billion,"https://www.cnbc.com/2025/05/22/exclusive-look-at-high-na-asmls-new-400-million-chipmaking-colossus.html, https://www.asml.com/en/news/press-releases/2025/q4-2024-financial-results"
