Name of Fab,Capacity (Wafers/Month),Process Node/Technology,Direct Quote Implying Fab Capacity,URL Where Quote Is From,Employee Estimate,Direct Quote,URL Where Quote Is From
"VSMC Singapore (VIS/NXP JV)","55,000 WSPM (by 2029)","130nm to 40nm mixed-signal, power, analog","With an expected output of 55,000 300mm wafers per month in 2029, the joint venture will create approximately 1,500 jobs",https://www.nxp.com/company/about-nxp/newsroom/NW-VSMC-V3,"~1,500 jobs","With an expected output of 55,000 300mm wafers per month in 2029, the joint venture will create approximately 1,500 jobs while contributing to the development of the upstream and downstream supply chains",https://www.nxp.com/company/about-nxp/newsroom/NW-VSMC-V3
"Infineon Dresden","30,000-33,000 WSPM","300mm power semiconductors (IGBTs, MOSFETs)","Infineon already plans to spend €140 million in Dresden in 2021 to expand production capacity from 30,000 wafers per month to 33,000 wpm.",https://www.eenewseurope.com/en/infineon-offers-to-build-300mm-wafer-fab-in-dresden/,"~3,900-4,000 (entire site)","Today, Infineon in Dresden is one of the most modern and largest sites for manufacturing, technology and product development, now around 3,900 employees.",https://www.infineon.com/cms/dresden/en/
"SK Hynix Yongin Semiconductor Cluster","800,000 WSPM (planned, 4 fabs)","EUV-based DRAM (1a nm and beyond)","The four fabs will have a planned capacity of around 800,000 wafer starts per month (WSPM), which will make the site one of the world's biggest semiconductor production hubs.",https://www.anandtech.com/show/16595/sk-hynix-to-build-106-billion-fab-cluster-800000-wafer-starts-a-month,"~31,000 jobs","The cluster is expected to create close to 31,000 jobs, production effects of 513 trillion won and an added value of 188 trillion won.",http://www.businesskorea.co.kr/news/articleView.html?idxno=91639
"TSMC Fab 18 (Tainan)",">83,000 WSPM (>1M wafers/year)","5nm and 3nm","Once all three phases enter production, the facility's estimated annual capacity will exceed one million 12-inch wafers, providing 4,000 jobs.",https://www.cleanroomtechnology.com/news/article_page/TSMC_starts_construction_of_Fab_18_in_Taiwan/139101,"11,300+ direct jobs","TSMC's total investment in Fab 18 will exceed NT$1.86 trillion, creating more than 23,500 construction jobs and over 11,300 high-tech direct job opportunities.",https://videocardz.com/press-release/tsmc-holds-3nm-volume-production-and-capacity-expansion-ceremony-at-fab-18-construction-site
"TSMC Arizona Fab 21","20,000 WSPM","4nm/5nm (currently); 3nm and 2nm planned","In Phase 1, the company is targeting 20,000 wafers by the first quarter of 2024.",https://www.asianometry.com/p/the-economics-of-tsmcs-giga-fabs,"2,200 (current); 6,000 (all 3 Arizona fabs planned)","About half of the 2,200 employees at TSMC's Fab 21 in Arizona come from Taiwan.",https://www.tomshardware.com/tech-industry/semiconductors/50-percent-of-tsmcs-arizona-employees-are-from-taiwan-despite-recent-controversies-company-plans-to-hire-more-us-workers-over-time
"GlobalFoundries Fab 8 Malta","33,000 WSPM (400,000/year)","12nm/14nm","The company's existing Fab 8 facility in Malta is a national leader in advanced manufacturing, producing 400,000 wafers each year.",https://www.governor.ny.gov/news/governor-hochul-celebrates-globalfoundries-116-billion-investment-expand-semiconductor,"2,500-3,000","GF employs approximately 2,500 people at its Malta, New York, fab and GlobalFoundries employs 3,000 people at Fab 8",https://gf.com/gf-press-release/globalfoundries-announces-new-york-advanced-packaging-and-photonics-center/
"Intel Fab 42 Arizona","25,000-100,000 WSPM (megafab)","10nm (Intel 7)","Typically, megafabs are fabrication facilities that offer capacity between 25,000 and 100,000 wafer starts per month.",https://www.tomshardware.com/news/intels-long-awaited-fab-42-is-fully-operational,"3,000 at Fab 42; 12,000 total in Arizona","Now it is up and running there are 3,000 high-tech, high-wage jobs at the facility",https://hexus.net/tech/news/cpu/145990-intel-fab-42-now-ready-pump-leading-edge-products/
"SK Hynix M16 Icheon","100,000 WSPM","1a nm DRAM (10nm-class)","SK Hynix's M16 wafer fab is located in Icheon, Gyeonggi Province, South Korea. It currently has a DRAM production capacity of approximately 100,000 12-inch wafers per month.",https://m.php.cn/faq/1796567926.html,"~3,000 (projected by 2026)","Around 34,800 jobs, including some 3,000 at the manufacturing facilities, will be created by 2026.",https://www.theinvestor.co.kr/article/1869620
"Micron Fab 10 Singapore","140,000 WSPM","232-layer 3D NAND","The manufacturing complex will be able to produce around 140 thousand 300mm 3D NAND flash wafers per month",https://www.kitguru.net/components/memory/anton-shilov/micron-begins-to-build-new-4-billion-nand-flash-memory-fab-in-singapore/,"8,000-9,000","About 9,000 employees work in Micron's Singapore sites",https://fortune.com/asia/2024/07/27/singapore-drives-one-third-micron-revenue-nand-memory-chips-ai-semiconductor/
"Samsung Pyeongtaek","450,000 WSPM","100+ layer V-NAND (6th gen)","Samsung Electronics has the NAND production capacity of 450,000 wafers a month","","10,000 Samsung employees; 70,000 total including partners","it currently hires 10,000 Samsung employees and 60,000 workers from Samsung' partner companies.",https://www.koreaherald.com/view.php?ud=20220907000771
"Crocus Nano Electronics","Up to 4,000","90/65nm","The current capacity is up to 4000 wafers/mounth",http://crocusnano.com/en/manufacturing-technologies,63 (as of recent filing),"Average headcount: 63 employees",https://companies.rbc.ru/id/1117746411529-ooo-krokus-nanoelektronika
